Year,Date,Observers,Site,Observation,Time,Visitor,Flowers per Plant,Total Visits,Total Visitors
1996,6/25/1996,1,C,Hour,60,Hummingbird,73,50,8
1996,6/26/1996,1,C,Hour,60,Hummingbird,39,4,3
1996,6/27/1996,1,C,Hour,60,Hummingbird,177,20,4
1996,7/1/1996,1,C,Hour,60,Hummingbird,228,5,6
1996,7/1/1996,1,C,Hour,60,Butterfly,228,1,2
1996,7/2/1996,1,C,Hour,60,Hummingbird,24,1,
1996,7/8/1996,1,C,Hour,60,Hummingbird,307,27,7
1996,7/8/1996,1,C,Hour,60,Butterfly,307,1,1
1996,7/9/1996,1,C,Hour,60,Hummingbird,996,6,
1996,7/9/1996,1,C,Hour,60,Nectar robber,996,97,
1996,7/14/1996,1,C,Hour,60,Hummingbird,454,7,5
1996,7/14/1996,1,C,Hour,60,Bumblebee,454,12,1
1996,7/21/1996,1,C,Hour,60,Hummingbird,448,47,25
1996,7/22/1996,1,C,Hour,60,Hummingbird,182,3,12
1996,7/23/1996,1,C,Hour,60,Hummingbird,195,11,12
1996,7/25/1996,1,C,Hour,60,Hummingbird,166,80,9
1996,7/29/1996,1,C,Hour,60,Hummingbird,175,23,11
1996,7/29/1996,1,C,Hour,60,Nectar robber,175,12,5
1996,7/30/1996,1,C,Hour,60,Hummingbird,207,42,8
1996,8/1/1996,1,C,Hour,60,Hummingbird,263,3,13
1996,8/1/1996,1,C,Hour,60,Nectar robber,263,20,6
1996,7/10/1996,1,P,Hour,60,Hummingbird,15,2,
1996,7/22/1996,1,P,Hour,60,Hummingbird,206,51,3
1996,7/23/1996,1,P,Hour,60,Hummingbird,93,14,2
1996,7/24/1996,1,P,Hour,60,Hummingbird,36,13,3
1996,8/2/1996,1,P,Hour,60,Hummingbird,2,9,2
1996,6/26/1996,1,T,Hour,60,Hummingbird,27,2,
1996,7/1/1996,1,T,Hour,60,Hummingbird,86,39,2
1996,7/5/1996,1,T,Hour,60,Hummingbird,54,5,5
1996,7/5/1996,1,T,Hour,60,Bumblebee,121,1,1
1996,7/11/1996,1,T,Hour,60,Nectar robber,252,44,
1996,7/22/1996,1,T,Hour,60,Hummingbird,88,10,10
1996,7/31/1996,1,T,Hour,60,Hummingbird,2,2,1
1996,8/1/1996,1,T,Hour,60,Hummingbird,23,28,
1996,7/3/1996,1,V,Hour,60,Hummingbird,179,29,
1996,7/10/1996,1,V,Hour,60,Hummingbird,297,7,1
1996,7/11/1996,1,V,Hour,60,Hummingbird,296,15,2
1996,7/14/1996,1,V,Hour,60,Hummingbird,50,2,5
1996,7/17/1996,1,V,Hour,60,Hummingbird,228,43,
1996,7/23/1996,1,V,Hour,60,Hummingbird,74,19,2
1996,7/25/1996,1,V,Hour,60,Hummingbird,0,4,1
