Year,Date,Observers,Site,Observation,Time,Visitor,Flowers per Plant,Total Visits,Visit Date
2019,,1,V,Hour,60,Hummingbird,,12,14-Jul-98
2019,,1,P,Hour,61,Hoverfly,,1,2-Jul-98
2019,,1,P,Hour,62,Other fly,,3,8-Jul-98
2019,,1,P,Hour,63,Hummingbird,,9,11-Jul-98
2019,,1,P,Hour,64,Other fly,,1,8-Jul-98
2019,,1,P,Hour,65,Other fly,,6,8-Jul-98
2019,,1,P,Hour,66,Hummingbird,,11,10-Jul-98
2019,,1,P,Hour,67,Hummingbird,,3,15-Jul-98
2019,,1,P,Hour,68,Hummingbird,,4,21-Jul-98
2019,,1,P,Hour,69,Other fly,,1,10-Jul-98
2019,,1,P,Hour,70,Hoverfly,,1,2-Jul-98
2019,,1,P,Hour,71,Hoverfly,,1,2-Jul-98
2019,,1,P,Hour,72,Hoverfly,,1,2-Jul-98
2019,,1,P,Hour,73,Other fly,,2,8-Jul-98
2019,,1,P,Hour,74,Hummingbird,,1,15-Jul-98
2019,,1,T,Hour,75,Solitary bee,,1,3-Jul-98
2019,,1,T,Hour,76,Other fly,,2,10-Jul-98
2019,,1,V,Hour,77,Hummingbird,,3,14-Jul-98
2019,,1,V,Hour,78,Hummingbird,,3,31-Jul-98
2019,,1,V,Hour,79,Hummingbird,,4,5-Aug-98
2019,,1,V,Hour,80,Hummingbird,,1,5-Aug-98
2019,,1,V,Hour,81,Hoverfly,,2,8-Jul-98
2019,,1,V,Hour,82,Hummingbird,,1,14-Jul-98
2019,,1,V,Hour,83,Hummingbird,,5,11-Jul-98
2019,,1,V,Hour,84,Hoverfly,,4,15-Jul-98
2019,,1,V,Hour,85,Hummingbird,,2,5-Aug-98
2019,,1,P,Hour,86,Hoverfly,,6,2-Jul-98
2019,,1,P,Hour,87,Hoverfly,,1,2-Jul-98
2019,,1,P,Hour,88,Hummingbird,,2,10-Jul-98
2019,,1,P,Hour,89,Hummingbird,,6,11-Jul-98
2019,,1,P,Hour,90,Hummingbird,,4,21-Jul-98
2019,,1,P,Hour,91,Bumblebee,,2,21-Jul-98
2019,,1,P,Hour,92,Hoverfly,,2,2-Jul-98
2019,,1,V,Hour,93,Other fly,,1,8-Jul-98
2019,,1,P,Hour,94,Hummingbird,,6,1-Jul-98
2019,,1,P,Hour,95,Hummingbird,,11,10-Jul-98
2019,,1,P,Hour,96,Hummingbird,,1,15-Jul-98
2019,,1,T,Hour,97,Solitary bee,,2,3-Jul-98
2019,,1,V,Hour,98,Hummingbird,,2,31-Jul-98
2019,,1,V,Hour,99,Other fly,,2,8-Jul-98
2019,,1,V,Hour,100,Hummingbird,,10,31-Jul-98
2019,,1,V,Hour,101,Solitary bee,,2,8-Jul-98
2019,,1,V,Hour,102,Other fly,,2,8-Jul-98
2019,,1,P,Hour,103,Hoverfly,,2,2-Jul-98
2019,,1,P,Hour,104,Solitary bee,,4,8-Jul-98
2019,,1,P,Hour,105,Solitary bee,,1,8-Jul-98
2019,,1,V,Hour,106,Hummingbird,,2,17-Jul-98
2019,,1,V,Hour,107,Hummingbird,,4,24-Jul-98
2019,,1,P,Hour,108,Hummingbird,,2,10-Jul-98
2019,,1,P,Hour,109,Hummingbird,,5,10-Jul-98
2019,,1,P,Hour,110,Hummingbird,,1,10-Jul-98
2019,,1,V,Hour,111,Other fly,,2,8-Jul-98
2019,,1,V,Hour,112,Hoverfly,,1,8-Aug-98
2019,,1,P,Hour,113,Other fly,,1,28-Jul-98
