Year,Date,Observers,Site,Observation,Time,Visitor,Flowers per Plant,Total Visits,Visit Date,Plant #,week
2000,4,1,T,Hour,60,Hummingbird,4,2,6/20/2000,3,2
2000,4,1,T,Hour,60,Hummingbird,4,4,6/20/2000,4,2
2000,4,1,T,Hour,60,Hummingbird,10,7,6/20/2000,19,2
2000,4,1,T,Hour,60,Hummingbird,4,4,6/20/2000,43,2
2000,8,1,T,Hour,60,Hummingbird,8,2,6/21/2000,5,2
2000,8,1,T,Hour,60,Hummingbird,5,3,6/21/2000,9,2
2000,8,1,T,Hour,60,Hummingbird,2,2,6/21/2000,17,2
2000,8,1,T,Hour,60,Hummingbird,11,71,6/22/2000,43,2
2000,8,1,T,Hour,60,Hummingbird,21,9,6/28/2000,1,3
2000,8,1,T,Hour,60,Hummingbird,11,5,6/28/2000,4,3
2000,10,1,T,Hour,60,Hummingbird,8,6,6/28/2000,19,3
2000,11,1,T,Hour,60,Hummingbird,8,4,6/28/2000,21,3
2000,11,1,T,Hour,60,Hummingbird,17,6,6/28/2000,43,3
2000,11,1,V,Hour,60,Hummingbird,2,2,6/28/2000,2,3
2000,13,1,V,Hour,60,Hummingbird,4,4,6/28/2000,6,3
2000,13,1,V,Hour,60,Hummingbird,5,4,6/28/2000,7,3
2000,13,1,V,Hour,60,Hummingbird,4,3,6/28/2000,9,3
2000,1,1,V,Hour,60,Hummingbird,13,6,6/28/2000,15,3
2000,1,1,V,Hour,60,Hummingbird,6,5,6/28/2000,18,3
2000,1,1,V,Hour,60,Hummingbird,1,1,6/28/2000,46,3
2000,1,1,V,Hour,60,Hummingbird,6,3,6/29/2000,6,3
2000,2,1,V,Hour,60,Hummingbird,5,6,6/29/2000,7,3
2000,2,1,V,Hour,60,Hummingbird,22,2,6/29/2000,12,3
2000,2,1,V,Hour,60,Hummingbird,7,11,6/29/2000,18,3
2000,3,1,V,Hour,60,Hummingbird,3,8,6/29/2000,23,3
2000,5,1,V,Hour,60,Hummingbird,6,6,6/29/2000,45,3
2000,5,1,V,Hour,60,Hummingbird,30,6,6/29/2000,50,3
2000,5,1,P,Hour,60,Other,4,5,7/3/2000,1,4
2000,5,1,P,Hour,60,Other,10,11,7/3/2000,2,4
2000,5,1,P,Hour,60,Other,2,1,7/3/2000,6,4
2000,8,1,P,Hour,60,Other,10,4,7/3/2000,46,4
2000,8,1,T,Hour,60,Hummingbird,31,17,7/5/2000,1,4
2000,8,1,T,Hour,60,Hummingbird,15,12,7/5/2000,3,4
2000,8,1,T,Hour,60,Hummingbird,8,8,7/5/2000,4,4
2000,8,1,T,Hour,60,Hummingbird,26,3,7/5/2000,5,4
2000,12,1,T,Hour,60,Hummingbird,19,6,7/5/2000,43,4
2000,18,1,V,Hour,60,Hummingbird,4,3,7/6/2000,2,4
2000,18,1,V,Hour,60,Hummingbird,18,1,7/6/2000,21,4
2000,18,1,V,Hour,60,Hummingbird,30,90,7/6/2000,50,4
2000,18,1,P,Hour,60,Hummingbird,4,3,7/12/2000,3,5
2000,18,1,P,Hour,60,Hummingbird,5,4,7/12/2000,6,5
2000,18,1,P,Hour,60,Hummingbird,9,6,7/12/2000,10,5
2000,18,1,P,Hour,60,Hummingbird,4,4,7/12/2000,19,5
2000,18,1,P,Hour,60,Hummingbird,8,5,7/12/2000,45,5
2000,18,1,P,Hour,60,Hummingbird,8,4,7/12/2000,47,5
2000,18,1,T,Hour,60,Hummingbird,9,69,7/15/2000,47,5
2000,4,1,P,Hour,60,Hummingbird,6,66,7/18/2000,1,6
2000,4,1,P,Hour,60,Hummingbird,12,72,7/19/2000,42,6
2000,4,1,P,Hour,60,Hummingbird,1,61,7/19/2000,43,6
2000,4,1,P,Hour,60,Hummingbird,9,69,7/19/2000,44,6
2000,4,1,V,Hour,60,Hummingbird,3,1,7/19/2000,1,6
2000,4,1,V,Hour,60,Hummingbird,14,10,7/19/2000,6,6
2000,4,1,V,Hour,60,Hummingbird,4,4,7/19/2000,7,6
2000,5,1,V,Hour,60,Hummingbird,16,3,7/19/2000,23,6
2000,5,1,V,Hour,60,Hummingbird,11,1,7/19/2000,46,6
2000,5,1,V,Hour,60,Hummingbird,22,82,7/19/2000,49,6
2000,5,1,V,Hour,60,Hummingbird,2,2,7/20/2000,4,6
2000,5,1,V,Hour,60,Hummingbird,26,2,7/20/2000,5,6
2000,5,1,V,Hour,60,Hummingbird,3,3,7/20/2000,8,6
2000,5,1,V,Hour,60,Hummingbird,4,4,7/20/2000,10,6
2000,8,1,V,Hour,60,Hummingbird,5,4,7/20/2000,11,6
2000,8,1,V,Hour,60,Hummingbird,7,8,7/20/2000,12,6
2000,8,1,V,Hour,60,Hummingbird,3,2,7/20/2000,45,6
2000,13,1,V,Hour,60,Hummingbird,10,11,7/20/2000,47,6
2000,13,1,P,Hour,60,Hummingbird,10,9,7/25/2000,11,7
2000,13,1,P,Hour,60,Hummingbird,5,4,7/25/2000,12,7
2000,13,1,P,Hour,60,Hummingbird,3,3,7/25/2000,19,7
2000,13,1,V,Hour,60,Hummingbird,6,3,7/25/2000,6,7
2000,13,1,V,Hour,60,Hummingbird,14,9,7/25/2000,8,7
2000,14,1,V,Hour,60,Hummingbird,14,10,7/25/2000,20,7
2000,14,1,V,Hour,60,Hummingbird,2,2,7/25/2000,48,7
2000,14,1,T,Hour,60,Hummingbird,5,3,7/28/2000,2,7
2000,14,1,T,Hour,60,Hummingbird,6,3,7/28/2000,6,7
2000,14,1,T,Hour,60,Hummingbird,3,2,7/28/2000,16,7
2000,14,1,T,Hour,60,Hummingbird,4,2,7/28/2000,17,7
2000,14,1,T,Hour,60,Hummingbird,10,9,7/28/2000,46,7
2000,14,1,T,Hour,60,Hummingbird,9,7,7/28/2000,47,7
2000,15,1,T,Hour,60,Hummingbird,5,1,7/28/2000,51,7
2000,15,1,T,Hour,60,Hummingbird,8,6,7/28/2000,52,7
2000,15,1,T,Hour,60,Hummingbird,7,6,7/28/2000,53,7
2000,15,1,T,Hour,60,Hummingbird,6,2,7/28/2000,58,7
2000,16,1,V,Hour,60,Hummingbird,3,1,7/26/2000,21,7
2000,16,1,V,Hour,60,Hummingbird,26,1,7/26/2000,51,7
2000,17,1,V,Hour,60,Hummingbird,28,88,7/27/2000,51,7
2000,18,1,V,Hour,60,Hummingbird,7,6,8/1/2000,3,8
2000,18,1,V,Hour,60,Hummingbird,5,4,8/1/2000,4,8
2000,18,1,V,Hour,60,Hummingbird,2,2,8/1/2000,11,8
2000,18,1,V,Hour,60,Hummingbird,10,6,8/1/2000,13,8
