Year,Date,Observers,Site,Observation,Time,Visitor,Flowers per Plant,Total Visits,Plant ID,VisitDate
2001,1,2,T,Hour,60,Hummingbird,17,3,25,25-Jun-01
2001,1,2,T,Hour,60,Hummingbird,9,4,27,25-Jun-01
2001,1,2,T,Hour,60,Hummingbird,1,1,15,25-Jun-01
2001,1,2,V,Hour,60,Hummingbird,16,19,12,25-Jun-01
2001,1,2,V,Hour,60,Hummingbird,3,2,9,25-Jun-01
2001,2,2,V,Hour,60,Hoverfly,5,3,13,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,7,1,24,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,14,10,11,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,4,3,10,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,8,4,8,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,7,4,9,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,13,9,4,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,8,3,5,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,3,1,7,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,11,1,27,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,9,1,16,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,9,2,16,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,9,3,16,27-Jun-01
2001,2,2,V,Hour,60,Solitary bee,9,1,16,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,11,1,18,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,7,4,1,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,3,2,3,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,14,11,14,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,11,5,15,27-Jun-01
2001,2,2,V,Hour,60,Hummingbird,9,1,16,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,8,4,5,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,7,4,24,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,11,1,27,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,11,6,20,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,5,1,13,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,8,2,5,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,5,1,13,27-Jun-01
2001,2,2,V,Hour,60,Hoverfly,5,1,13,27-Jun-01
2001,2,2,P,Hour,60,Hoverfly,6,2,58,27-Jun-01
2001,2,2,P,Hour,60,Solitary bee,11,1,57,27-Jun-01
2001,2,2,P,Hour,60,Solitary bee,6,1,58,27-Jun-01
2001,3,2,P,Hour,60,Hoverfly,12,4,41,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,9,1,51,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,10,2,52,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,10,2,52,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,5,1,46,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,12,2,39,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,8,1,38,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,9,1,51,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,10,2,52,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,2,1,50,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,9,1,51,29-Jun-01
2001,3,2,P,Hour,60,Hoverfly,9,2,51,29-Jun-01
2001,3,2,V,Hour,60,Hoverfly,9,1,3,29-Jun-01
2001,4,2,T,Hour,60,Wasp,9,1,27,2-Jul-01
2001,4,2,T,Hour,60,Wasp,13,1,29,2-Jul-01
2001,4,2,T,Hour,60,Wasp,3,0,28,2-Jul-01
2001,4,2,T,Hour,60,Wasp,13,0,29,2-Jul-01
