Year,Date,Observers,Site,Observation,Time,Visitor ,Flowers per Plant,Total Visits,Sample number
2018,4,2,Bellview View,10 MO,10,Bumblebee,,3,1
2018,4,2,Avery Slope,SC,10,Small insect,,3,2
2018,4,2,Avery Slope,SC,10,Small insect,,1,3
2018,4,2,Behind Rustler's Gultch,SC,10,Small insect,,1,1
2018,4,2,Behind Rustler's Gultch,SC,10,Small insect,,1,2
2018,3,2,East River Overlook,SC,10,Small insect,,1,1
2018,4,2,Avery Slope,10 MO,10,Hummingbird,,1,1
2018,4,2,Avery Slope,10 MO,10,Hummingbird,,1,1
2018,4,2,Bellview View,10 MO,10,Hummingbird,,14,1
2018,4,2,Vera Falls,10 MO,10,Hummingbird,,1,1
2018,4,2,Vera Falls,10 MO,10,Hummingbird,,2,2
2018,4,2,Bellview Bench Park,10 MO,10,Butterfly,,1,1
2018,4,2,Bellview Bench Park,SC,10,Other fly,,1,1
2018,4,2,Rosy Point,SC,10,Other fly,,1,1
2018,4,2,Rosy Point,SC,10,Other fly,,1,1
2018,4,2,Rosy Point,SC,10,Other fly,,1,2
2018,4,2,Bellview Bench Park,SC,10,Wasp,,1,2
2018,3,2,East River Overlook,SC,10,Wasp,,1,2
2018,4,2,Rosy Point,SC,10,Wasp,,5,1
2018,4,2,Bellview Bench Park,SC,10,Hoverfly,,1,1
2018,4,2,Bellview Bench Park,SC,10,Hoverfly,,10,2
2018,4,2,Rosy Point,SC,10,Hoverfly,,1,2
2018,4,2,Bellview Bench Park,SC,10,Wasp,,1,3
2018,4,2,Rosy Point,SC,10,Wasp,,1,2
2018,4,2,Rosy Point,SC,10,Wasp,,1,2
